iter	Passed	Remaining
0	0	32
1	0	28
2	0	26
3	1	24
4	1	23
5	1	23
6	1	23
7	1	22
8	2	22
9	2	22
10	2	21
11	2	21
12	3	21
13	3	21
14	3	22
15	4	22
16	4	22
17	4	22
18	5	23
19	5	22
20	6	22
21	6	22
22	6	22
23	7	22
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	16
46	14	16
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	12
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	22	9
69	22	9
70	22	9
71	23	8
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	25	7
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	27	5
84	27	4
85	27	4
86	28	4
87	28	3
88	28	3
89	29	3
90	29	2
91	29	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	32	0
