iter	Passed	Remaining
0	47	47648
1	48	24429
2	49	16593
3	50	12627
4	51	10239
5	52	8639
6	52	7501
7	53	6655
8	54	6003
9	55	5487
10	56	5071
11	57	4714
12	57	4400
13	58	4135
14	59	3907
15	60	3705
16	60	3526
17	61	3366
18	62	3224
19	63	3097
20	64	2984
21	64	2878
22	65	2782
23	66	2692
24	66	2609
25	67	2531
26	68	2461
27	69	2395
28	69	2335
29	70	2283
30	71	2235
31	72	2186
32	73	2140
33	73	2098
34	74	2058
35	75	2020
36	76	1982
37	76	1946
38	77	1912
39	78	1879
40	79	1848
41	79	1818
42	80	1793
43	81	1765
44	81	1738
45	82	1714
46	83	1690
47	84	1666
48	84	1644
49	85	1624
50	86	1601
51	86	1579
52	87	1558
53	87	1538
54	88	1520
55	89	1506
56	90	1492
57	90	1475
58	91	1458
59	92	1441
60	92	1424
61	92	1406
62	93	1390
63	94	1374
64	94	1359
65	95	1345
66	95	1330
67	96	1315
68	96	1301
69	96	1288
70	97	1275
71	98	1263
72	98	1251
73	98	1238
74	99	1225
75	99	1212
76	100	1199
77	100	1187
78	100	1176
79	101	1165
80	101	1153
81	102	1142
82	102	1129
83	102	1119
84	103	1108
85	103	1099
86	103	1089
87	104	1079
88	104	1070
89	105	1062
90	105	1052
91	105	1042
92	105	1033
93	106	1023
94	106	1014
95	106	1005
96	107	996
97	107	987
98	107	979
99	107	971
100	108	963
101	108	955
102	108	947
103	109	939
104	109	932
105	109	924
106	109	917
107	110	911
108	110	904
109	110	897
110	111	891
111	111	884
112	111	877
113	112	870
114	112	864
115	112	857
116	112	850
117	112	844
118	113	838
119	113	831
120	113	825
121	113	819
122	114	813
123	114	807
124	114	802
125	114	796
126	115	790
127	115	785
128	115	780
129	115	774
130	116	769
131	116	764
132	116	759
133	116	754
134	116	749
135	117	744
136	117	739
137	117	735
138	117	730
139	118	725
140	118	721
141	118	716
142	118	711
143	119	707
144	119	703
145	119	698
146	119	694
147	119	690
148	120	686
149	120	682
150	120	678
151	120	674
152	121	671
153	121	667
154	121	663
155	121	659
156	122	655
157	122	652
158	122	648
159	122	645
160	123	641
161	123	637
162	123	634
163	123	630
164	123	627
165	124	624
166	124	620
167	124	617
168	124	614
169	125	611
170	125	608
171	125	605
172	125	602
173	126	599
174	126	596
175	126	593
176	126	590
177	127	587
178	127	584
179	127	581
180	127	578
181	128	575
182	128	573
183	128	570
184	128	567
185	129	564
186	129	562
187	129	559
188	129	556
189	130	554
190	130	551
191	130	549
192	130	546
193	130	544
194	131	541
195	131	539
196	131	536
197	131	534
198	132	532
199	132	529
200	132	527
201	132	525
202	133	522
203	133	520
204	133	518
205	133	516
206	134	513
207	134	511
208	134	509
209	134	507
210	135	505
211	135	503
212	135	501
213	135	498
214	136	496
215	136	494
216	136	492
217	136	490
218	137	488
219	137	486
220	137	484
221	137	482
222	138	480
223	138	478
224	138	476
225	138	475
226	138	473
227	139	471
228	139	469
229	139	467
230	139	465
231	140	463
232	140	462
233	140	460
234	140	458
235	141	456
236	141	455
237	141	453
238	141	451
239	142	450
240	142	448
241	142	446
242	142	444
243	143	443
244	143	441
245	143	440
246	143	438
247	144	437
248	144	435
249	144	433
250	144	432
251	145	430
252	145	429
253	145	427
254	145	426
255	146	424
256	146	423
257	146	421
258	146	420
259	147	419
260	147	417
261	147	416
262	148	414
263	148	413
264	148	412
265	148	410
266	149	409
267	149	408
268	149	406
269	149	405
270	150	404
271	150	402
272	150	401
273	151	400
274	151	398
275	151	397
276	151	396
277	152	395
278	152	393
279	152	392
280	153	391
281	153	390
282	153	388
283	153	387
284	154	386
285	154	385
286	154	384
287	154	382
288	155	381
289	155	380
290	155	379
291	155	378
292	156	376
293	156	375
294	156	374
295	156	373
296	157	372
297	157	370
298	157	369
299	157	368
300	158	367
301	158	366
302	158	364
303	158	363
304	159	362
305	159	361
306	159	360
307	159	359
308	160	358
309	160	356
310	160	355
311	160	354
312	161	353
313	161	352
314	161	351
315	161	350
316	162	349
317	162	347
318	162	346
319	162	345
320	162	344
321	163	343
322	163	342
323	163	341
324	163	340
325	164	339
326	164	338
327	164	337
328	164	336
329	165	335
330	165	334
331	165	333
332	165	332
333	166	331
334	166	330
335	166	329
336	166	328
337	167	327
338	167	326
339	167	325
340	167	324
341	168	323
342	168	322
343	168	321
344	168	320
345	169	319
346	169	318
347	169	317
348	169	317
349	170	316
350	170	315
351	170	314
352	170	313
353	171	312
354	171	311
